target,initial_mse_xgboost,initial_mse_lightgbm,final_mse_xgboost,final_mse_lightgbm,initial_aggregated_mse,final_aggregated_mse,improvement,final_feature_space
DSPI,0.0009345199138528737,0.0009339392729175755,0.0009345199138528737,0.0009339392729175755,0.0018684591867704492,0.0018684591867704492,0.0,"['DSPI__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0', 'DSPI__last_location_of_maximum', 'UNRATE__approximate_entropy__m_2__r_0.1', 'AAA__agg_autocorrelation__f_agg_""mean""__maxlag_40', 'DGS5__approximate_entropy__m_2__r_0.5', 'GDP__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0', 'CUSR0000SAH1__approximate_entropy__m_2__r_0.3']"
DGS2,0.02642700374097543,0.028972963781707245,inf,inf,0.055399967522682676,inf,-inf,[]
DGS5,0.006978676002731461,0.007912512461612283,0.0066586914827424844,0.00775710068328937,0.014891188464343744,0.014415792166031855,0.00047539629831188854,"['DGS2__fft_coefficient__attr_""angle""__coeff_0']"
DGS10,0.0035572072153545395,0.00983779189749256,0.0038384658625532486,0.010260319353977799,0.0133949991128471,0.014098785216531047,-0.0007037861036839482,"['DGS2__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0', 'DGS5__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.8', 'DGS10__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.4', 'EXPGS__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4']"
AAA,0.0033804652192765006,0.004518415934243966,0.003750892710130511,0.0045037364234185575,0.007898881153520467,0.008254629133549069,-0.0003557479800286017,"['AAA__fft_coefficient__attr_""angle""__coeff_0', 'GDP__quantile__q_0.2', 'GDP__quantile__q_0.4']"
BAA,0.0032667436939837684,0.003856014587373318,0.0031264010903663464,0.003827753866119053,0.007122758281357087,0.006954154956485399,0.00016860332487168752,"['DGS5__lempel_ziv_complexity__bins_100', 'DGS2__symmetry_looking__r_0.2', 'CPILFESL__maximum', 'PAYEMS__large_standard_deviation__r_0.15000000000000002', 'WTISPLC__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.4']"
WTISPLC,14.25200631310089,14.208903953987946,14.25200631310089,14.208903953987946,28.460910267088835,28.460910267088835,0.0,"['WTISPLC__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0', 'WTISPLC__last_location_of_minimum', 'BAA__energy_ratio_by_chunks__num_segments_10__segment_focus_4', 'INDPRO__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4', 'PCEPILFE__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6', 'DGS10__mean', 'GCE__index_mass_quantile__q_0.4', 'PNFI__agg_autocorrelation__f_agg_""mean""__maxlag_40', 'PCEPILFE__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.0', 'CPIAUCSL__ratio_beyond_r_sigma__r_2.5', 'FEDFUNDS__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0', 'CPILFESL__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0', 'AAA__energy_ratio_by_chunks__num_segments_10__segment_focus_1', 'BAA__energy_ratio_by_chunks__num_segments_10__segment_focus_1', 'CPIAUCSL__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4']"
IMPGS,7.087179323779567e-05,6.811414316109518e-05,8.291012637231123e-05,6.909936970371606e-05,0.00013898593639889085,0.0001520094960760273,-1.302355967713645e-05,"['PAYEMS__longest_strike_above_mean', 'IMPGS__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0', 'PCE__last_location_of_maximum', 'CUMFNS__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8', 'HOUST__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0']"
GCE,7.809493739261648e-05,9.091088635889148e-05,inf,inf,0.00016900582375150796,inf,-inf,[]
FGCE,0.0005373646064227188,0.00025862151652249074,0.00027705804465465655,0.0002525293582207882,0.0007959861229452096,0.0005295874028754448,0.0002663987200697648,"['CPILFESL__lempel_ziv_complexity__bins_2', 'AAA__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.2', 'CPILFESL__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.2']"
GDPCTPI,5.83515671409445e-06,3.603328940885606e-06,inf,inf,9.438485654980056e-06,inf,-inf,[]
PCEPI,2.2261891417456613e-05,2.1947886580174325e-05,2.356969815473325e-05,2.2541731858082014e-05,4.420977799763094e-05,4.6111430012815265e-05,-1.9016520151843237e-06,"['FGCE__percentage_of_reoccurring_datapoints_to_all_datapoints', 'PCEPI__sum_values', 'PCEPI__fft_coefficient__attr_""real""__coeff_0', 'PAYEMS__index_mass_quantile__q_0.9', 'DGS5__quantile__q_0.7']"
PCEPILFE,1.1221953582826673e-05,1.1237545774859996e-05,1.1221953582826673e-05,1.1237545774859996e-05,2.2459499357686667e-05,2.2459499357686667e-05,0.0,"['GDPCTPI__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)', 'PNFI__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)', 'PRFI__has_duplicate', 'HOUST__number_peaks__n_50', 'HOUST__sum_of_reoccurring_values', 'DGS10__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)', 'HOUST__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)', 'INDPRO__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)', 'WTISPLC__minimum', 'PAYEMS__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)', 'UNRATE__absolute_maximum', 'DGS2__maximum', 'DGS5__symmetry_looking__r_0.05']"
PAYEMS,0.002403236891478201,0.0023627960106601467,0.002403236891478201,0.0023627960106601467,0.004766032902138348,0.004766032902138348,0.0,"['DSPI__index_mass_quantile__q_0.4', 'PAYEMS__last_location_of_minimum', 'PAYEMS__index_mass_quantile__q_0.8', 'GDP__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.8', 'EXPGS__lempel_ziv_complexity__bins_3', 'DGS2__variation_coefficient', 'FEDFUNDS__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0', 'DGS5__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0', 'PCE__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.0', 'INDPRO__lempel_ziv_complexity__bins_3', 'HOUST__lempel_ziv_complexity__bins_5', 'DSPI__energy_ratio_by_chunks__num_segments_10__segment_focus_9']"
UNRATE,0.4513557510834746,0.43522735263826257,0.4495097315970115,0.44238802462855287,0.8865831037217371,0.8918977562255643,-0.005314652503827233,"['UNRATE__last_location_of_maximum', 'CPILFESL__count_above__t_0', 'UNRATE__mean', 'UNRATE__last_location_of_minimum', 'PCEPILFE__energy_ratio_by_chunks__num_segments_10__segment_focus_4', 'GCE__ratio_beyond_r_sigma__r_2.5', 'DSPI__agg_autocorrelation__f_agg_""mean""__maxlag_40', 'UNRATE__fft_coefficient__attr_""real""__coeff_0']"
INDPRO,0.003027821289058748,0.003070696410243452,0.003027821289058748,0.003070696410243452,0.0060985176993022,0.0060985176993022,0.0,"['INDPRO__last_location_of_minimum', 'INDPRO__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0', 'IMPGS__first_location_of_minimum', 'INDPRO__variation_coefficient', 'CPILFESL__variation_coefficient', 'DSPI__approximate_entropy__m_2__r_0.1', 'PCE__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0', 'PAYEMS__lempel_ziv_complexity__bins_100', 'IMPGS__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0', 'IMPGS__energy_ratio_by_chunks__num_segments_10__segment_focus_9', 'IMPGS__index_mass_quantile__q_0.7', 'CUSR0000SAH1__ratio_value_number_to_time_series_length']"
CUMFNS,1.5056786979299623,1.3266525691411937,1.5056786979299623,1.3266525691411937,2.8323312670711562,2.8323312670711562,0.0,"['CUMFNS__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0', 'CUMFNS__mean', 'CUMFNS__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2', 'PNFI__count_above__t_0']"
USREC,0.6005551153653645,0.6005551153653645,0.6005551153653645,0.6005551153653645,1.201110230730729,1.201110230730729,0.0,"['FEDFUNDS__variance_larger_than_standard_deviation', 'FEDFUNDS__has_duplicate_max', 'FEDFUNDS__has_duplicate_min']"
